price,brand,model,year,mileage,engine_size,city,fuel_type,transmission,condition,owners,scraped_at
207356,Mercedes,GLE 53 AMG 4MATIC+ Coupe,2023,0,3.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
135320,Jaguar,F-Pace,2023,0,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
843192,Bentley,Continental GT,2025,0,4.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
46999,Toyota,Frontlander,2025,0,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
43500,Porsche,Macan S,2015,91000,3.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
36500,Lexus,RX 350,2020,268800,3.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
24200,BYD,Seal 05,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
19000,Chevrolet,Cruze,2015,26000,1.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
25900,BYD,Destroyer 05,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
93500,Land,Rover Discovery,2021,63000,3.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
25500,Ford,Mondeo,2016,145500,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
34700,Kia,Sorento,2016,181000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
20000,Hyundai,Sonata,2010,165500,2.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
8300,LADA,(VAZ) 2107,2020,33000,1.6,Şəki,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
52700,Lexus,RX 200t,2019,170000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
40900,Hyundai,Santa Fe,2018,208000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
54999,BMW,X5,2020,105000,4.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
76500,Ford,F-150,2020,270000,3.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
19500,Toyota,Aqua,2017,95000,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
18000,Hyundai,Elantra,2014,135000,1.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
9800,Volkswagen,Passat,2010,268000,1.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:27
