marka,model,il,yurus,muherrik,qiymet
Mercedes,GLE 53 AMG 4MATIC+ Coupe,2023,0,3.0,207356
Jaguar,F-Pace,2023,0,2.0,135320
Bentley,Continental GT,2025,0,4.0,843192
Toyota,Frontlander,2025,0,2.0,46999
Porsche,Macan S,2015,91000,3.0,43500
Lexus,RX 350,2020,268800,3.5,36500
BYD,Seal 05,2020,0,1.5,24200
Chevrolet,Cruze,2015,26000,1.4,19000
BYD,Destroyer 05,2020,0,1.5,25900
Land,Rover Discovery,2021,63000,3.0,93500
Ford,Mondeo,2016,145500,2.0,25500
Kia,Sorento,2016,181000,2.0,34700
Hyundai,Sonata,2010,165500,2.4,20000
LADA,(VAZ) 2107,2020,33000,1.6,8300
Lexus,RX 200t,2019,170000,2.0,52700
Hyundai,Santa Fe,2018,208000,2.0,40900
BMW,X5,2020,105000,4.4,54999
Ford,F-150,2020,270000,3.0,76500
Toyota,Aqua,2017,95000,1.5,19500
Hyundai,Elantra,2014,135000,1.8,18000
Volkswagen,Passat,2010,268000,1.8,9800
Opel,Astra,1998,434700,1.8,8600
Mercedes,E 220 d,2019,156452,2.1,44000
Land,Rover Range Rover,2016,81700,3.0,60010
Mercedes,E 240,2020,381000,2.4,13700
Ford,Transit,2000,124000,2.5,13500
Hyundai,Elantra,2023,119000,1.6,29900
Mercedes,E 350 4MATIC,2007,173000,3.5,22000
Mitsubishi,Pajero,2007,210000,3.0,21900
Toyota,Land Cruiser,2011,180000,4.0,45000
Mercedes,EQS 450+,2022,202212000,2.0,89999
Ford,Transit,2002,380000,2.4,19000
Hyundai,Sonata,2010,266000,2.4,16900
Volkswagen,Passat,2006,323000,2.0,9400
Dayun,DY200-22A,2024,0,0.2,2999
BMW,528,2020,162000,2.0,27700
BYD,Song Plus DM-İ,2023,27000,1.5,31500
Changan,Eado,2025,0,1.5,30000
Lexus,LX 570,2020,106000,5.7,43500
Subaru,Forester,2009,450000,2.0,14500
BMW,530,2020,85000,2.0,45900
Toyota,Camry,2025,0,2.0,59700
Hyundai,Sonata,2014,124444,2.4,20500
Toyota,Land Cruiser,2013,170000,4.0,53500
Hyundai,Sonata,2022,16000,1.6,39950
Toyota,Land Cruiser Prado,2018,103000,2.7,63500
BMW,428,2020,193121,2.0,29800
Land,Rover Range Rover,2023,88000,3.0,279650
Opel,Astra,2009,288888,1.4,7500
Isuzu,NP 37,2020,100000,4.3,17000
BYD,Destroyer 05,2020,18000,1.5,31000
BYD,Destroyer 05,2020,0,1.5,24800
BMW,525,2020,285000,2.5,18000
BMW,760,2020,300000,6.0,7500
Mitsubishi,Pajero,2002,398563,3.2,15800
Toyota,Land Cruiser,2008,165000,4.7,40800
Mercedes,Sprinter 315,2020,211989,2.2,27900
